Year,Skill,Count
2015,MySQL,120
2015,Git,113
2015,JavaScript,107
2015,Python,107
2015,PHP,102
2015,Django Framework,77
2015,ООП,76
2015,Linux,63
2015,jQuery,61
2015,PHP5,59
2015,HTML,59
2015,PostgreSQL,56
2015,CSS,54
2015,Yii,51
2015,HTML5,41
2015,Bootstrap,39
2015,SQL,38
2015,Ajax,37
2015,Java,32
2015,CSS3,31
2016,PHP,513
2016,MySQL,432
2016,JavaScript,424
2016,Git,407
2016,Python,349
2016,ООП,309
2016,jQuery,275
2016,Yii,274
2016,SQL,244
2016,Linux,237
2016,Django Framework,235
2016,PostgreSQL,230
2016,PHP5,182
2016,HTML5,175
2016,HTML,163
2016,CSS,153
2016,CSS3,125
2016,Bootstrap,106
2016,Ajax,104
2016,Java,99
2017,PHP,1131
2017,JavaScript,956
2017,Git,794
2017,ООП,764
2017,MySQL,746
2017,jQuery,594
2017,PostgreSQL,513
2017,Python,451
2017,Yii,447
2017,Linux,403
2017,SQL,348
2017,1С-Битрикс,336
2017,HTML,334
2017,CSS,313
2017,Django Framework,307
2017,PHP5,272
2017,Bitrix,267
2017,HTML5,250
2017,Node.js,226
2017,Java,188
2018,PHP,1554
2018,Git,1310
2018,JavaScript,1261
2018,MySQL,1141
2018,ООП,915
2018,PostgreSQL,861
2018,Python,743
2018,jQuery,730
2018,SQL,686
2018,Linux,590
2018,HTML,578
2018,Yii,517
2018,CSS,497
2018,Django Framework,426
2018,Java,416
2018,Node.js,409
2018,1С-Битрикс,397
2018,HTML5,371
2018,PHP5,338
2018,Ajax,292
2019,PHP,2083
2019,Git,1924
2019,MySQL,1565
2019,JavaScript,1470
2019,PostgreSQL,1198
2019,ООП,1135
2019,Python,1054
2019,SQL,980
2019,Linux,932
2019,jQuery,706
2019,HTML,684
2019,CSS,667
2019,Java,622
2019,Yii,617
2019,Node.js,616
2019,Django Framework,512
2019,Symfony,471
2019,Docker,452
2019,Laravel,444
2019,Redis,424
2020,Git,3993
2020,PHP,3132
2020,MySQL,2794
2020,PostgreSQL,2571
2020,JavaScript,2088
2020,SQL,1901
2020,ООП,1772
2020,Python,1740
2020,Linux,1567
2020,Java,1320
2020,Node.js,1055
2020,CSS,947
2020,HTML,929
2020,Redis,847
2020,Django Framework,839
2020,MongoDB,814
2020,jQuery,798
2020,Laravel,791
2020,Symfony,781
2020,Yii,771
2021,Git,6662
2021,PHP,5237
2021,PostgreSQL,4590
2021,MySQL,4515
2021,SQL,3483
2021,ООП,3203
2021,JavaScript,3163
2021,Python,3139
2021,Linux,2615
2021,Java,1894
2021,Docker,1893
2021,Laravel,1861
2021,Node.js,1676
2021,Django Framework,1621
2021,Redis,1610
2021,Symfony,1436
2021,HTML,1420
2021,CSS,1348
2021,MongoDB,1314
2021,C#,1142
2022,Git,6606
2022,PHP,5313
2022,PostgreSQL,4637
2022,MySQL,4403
2022,SQL,3498
2022,ООП,3021
2022,JavaScript,2637
2022,Python,2579
2022,Docker,2452
2022,Linux,2327
2022,Laravel,2046
2022,Node.js,1717
2022,Java,1715
2022,Redis,1625
2022,Английский язык,1273
2022,Symfony,1261
2022,C#,1204
2022,MongoDB,1196
2022,Django Framework,1119
2022,HTML,1102
2023,Git,4273
2023,PHP,4042
2023,PostgreSQL,3786
2023,MySQL,2941
2023,SQL,2339
2023,Docker,2310
2023,Python,2050
2023,Laravel,1900
2023,ООП,1772
2023,JavaScript,1651
2023,Linux,1496
2023,Redis,1394
2023,Node.js,1194
2023,RabbitMQ,1191
2023,Java,1159
2023,MongoDB,986
2023,Symfony,961
2023,API,955
2023,Backend,908
2023,REST,895
