Year,Skill,Count
2023,Git,4273
2023,PHP,4042
2023,PostgreSQL,3786
2023,MySQL,2941
2023,SQL,2339
2022,Git,6606
2022,PHP,5313
2022,PostgreSQL,4637
2022,MySQL,4403
2022,SQL,3498
2021,Git,6662
2021,PHP,5237
2021,PostgreSQL,4590
2021,MySQL,4515
2021,SQL,3483
2020,Git,3993
2020,PHP,3132
2020,MySQL,2794
2020,PostgreSQL,2571
2020,SQL,1901
2019,PHP,2083
2019,Git,1924
2019,MySQL,1565
2019,PostgreSQL,1198
2019,SQL,980
2018,PHP,1554
2018,Git,1310
2018,MySQL,1141
2018,PostgreSQL,861
2018,SQL,686
2017,PHP,1131
2017,Git,794
2017,MySQL,746
2017,PostgreSQL,513
2017,SQL,348
2016,PHP,513
2016,MySQL,432
2016,Git,407
2016,SQL,244
2016,PostgreSQL,230
2015,MySQL,120
2015,Git,113
2015,PHP,102
2015,PostgreSQL,56
2015,SQL,38
