year,key_skills_str,count
2015,".NET Framework, ООП, C#, ASP.NET, MVC, JavaScript, HTML5, jQuery",2095
2015,Английский язык,279
2015,"Java, ООП",264
2015,"iOS, Objective-C, SQLite",231
2015,"JavaScript, HTML, HTML5, CSS, ООП",208
2015,"Холодные продажи, работа с текущей базой клиентов, Поиск и привлечение клиентов, Холодные звонки, Ведение переговоров, Управление продажами, Проведение презентаций, B2B Продажи, Развитие продаж, Телефонные переговоры, Навыки продаж",205
2015,"jQuery, CSS3, Git, PHP, PHP5, JavaScript, HTML5, Yii, ООП, Nginx, Linux, Ajax, HTML, CSS, Apache HTTP Server, MySQL, SQL, MVC",158
2015,1С программирование,152
2015,"QA, Тестирование, Test case",146
2015,"SVN, Git, TeamCity, Jenkins",140
2015,"Java, SQL, NoSQL, ООП, TDD",139
2015,"Project management, Управление проектами",138
2015,.NET Framework,137
2015,"QA, Test case, Тестирование",137
2015,"QA, Тестирование, Selenium IDE, C#",137
2015,"Java, NoSQL, MongoDB, ООП, Design Patterns",136
2015,"Ruby, Ruby On Rails, HTML, CSS, JavaScript, jQuery",135
2015,"JavaScript, ООП, HTML, HTML5",131
2015,"ООП, Design Patterns, .NET Framework, ASP.NET, MVC, HTML5, jQuery, REST, SOAP, Scrum",129
2015,"системное администрирование, Информационная безопасность, Администрирование сетевого оборудования, Администрирование серверов Windows, Администрирование серверов, Информационные технологии, Active Directory, Настройка сетевых подключений",120
2016,Английский язык,320
2016,1С программирование,312
2016,Java,173
2016,"1С программирование, Создание конфигурации 1С, Обновление конфигурации 1С, 1С: Управление Торговлей, 1С: Розница, 1С: Торговля",168
2016,Коммуникабельность,133
2016,Поиск и привлечение клиентов,122
2016,C++,115
2016,"SEO оптимизация, Email маркетинг, Автоматизация контекстных кампаний, WEB аналитика, SMM, Google AdWords, Google Analytics, Yandex Direct, Интернет-реклама, Управление проектами, Яндекс.Метрика, Яндекс.Директ, HTML, Составление семантического ядра, Формирование технического задания для разработки, jQuery, JavaScript, Ведение групп в социальных сетях, CSS",114
2016,Python,111
2016,"Коммуникабельность, Пользователь ПК, Агентские продажи, B2C продажи, Поиск и привлечение клиентов",107
2016,"Стрессоустойчивость, Целеустремленность, Коммуникабельность",106
2016,Ответственность,105
